证券代码,证券简称,日期,收盘价,成交量,成交金额
000300.SH,沪深300,20260712,4780.7867,,
399933.SZ,800医卫,20260712,7693.836,,
000300.SH,沪深300,20260711,4780.7867,,
399933.SZ,800医卫,20260711,7693.836,,
000300.SH,沪深300,20260710,4780.7867,3.04130286E10,1.083913073039E12
399933.SZ,800医卫,20260710,7693.836,1.7157006E9,6.16650877566E10
000300.SH,沪深300,20260709,4876.3125,2.81627705E10,9.47119396814E11
399933.SZ,800医卫,20260709,7554.6251,1.1976418E9,4.77577361615E10
000300.SH,沪深300,20260708,4755.5338,2.43928749E10,7.83248978281E11
399933.SZ,800医卫,20260708,7449.5881,1.1913803E9,4.55495335967E10
000300.SH,沪深300,20260707,4792.2624,2.46305999E10,7.62617505589E11
399933.SZ,800医卫,20260707,7530.2473,1.5353192E9,5.86220442133E10
000300.SH,沪深300,20260706,4841.998,2.94050543E10,9.07946016953E11
399933.SZ,800医卫,20260706,7814.5116,1.9514699E9,8.03783623153E10
000300.SH,沪深300,20260705,4842.1737,,
399933.SZ,800医卫,20260705,7748.9105,,
000300.SH,沪深300,20260704,4842.1737,,
399933.SZ,800医卫,20260704,7748.9105,,
000300.SH,沪深300,20260703,4842.1737,3.01067568E10,9.4256989435E11
399933.SZ,800医卫,20260703,7748.9105,1.5217563E9,6.03311186695E10
000300.SH,沪深300,20260702,4812.2957,3.43243758E10,1.027796834233E12
399933.SZ,800医卫,20260702,7593.7783,1.6465929E9,6.7441571989E10
000300.SH,沪深300,20260701,4958.9773,3.42934747E10,1.101717525969E12
399933.SZ,800医卫,20260701,7612.7269,1.8132973E9,7.24454348991E10
000300.SH,沪深300,20260630,4979.4328,3.06150226E10,9.85795205704E11
399933.SZ,800医卫,20260630,7350.4353,1.3965353E9,5.53147929791E10
000300.SH,沪深300,20260629,4926.921,3.23216134E10,1.053723822553E12
399933.SZ,800医卫,20260629,7464.347,1.9457999E9,7.19299847093E10
000300.SH,沪深300,20260628,4868.2205,,
399933.SZ,800医卫,20260628,7015.4708,,
000300.SH,沪深300,20260627,4868.2205,,
399933.SZ,800医卫,20260627,7015.4708,,
000300.SH,沪深300,20260626,4868.2205,3.41179238E10,1.068082662087E12
399933.SZ,800医卫,20260626,7015.4708,1.1826979E9,4.21588478037E10
000300.SH,沪深300,20260625,5020.1038,3.46664289E10,1.110040892256E12
399933.SZ,800医卫,20260625,7218.0716,1.3524854E9,5.00900660033E10
000300.SH,沪深300,20260624,4943.0197,3.12249025E10,9.64945849979E11
399933.SZ,800医卫,20260624,7184.6111,1.4390448E9,5.38230863197E10
000300.SH,沪深300,20260623,4919.386,3.42719336E10,1.047052858821E12
399933.SZ,800医卫,20260623,7103.5533,1.4255077E9,4.5456239077E10
000300.SH,沪深300,20260622,5059.6582,3.75100124E10,1.145900296758E12
399933.SZ,800医卫,20260622,7081.7224,1.4332254E9,4.52548394466E10
000300.SH,沪深300,20260621,4941.5986,,
399933.SZ,800医卫,20260621,7012.156,,
000300.SH,沪深300,20260620,4941.5986,,
399933.SZ,800医卫,20260620,7012.156,,
000300.SH,沪深300,20260619,4941.5986,,
399933.SZ,800医卫,20260619,7012.156,,
000300.SH,沪深300,20260618,4941.5986,3.34459902E10,1.021710711056E12
399933.SZ,800医卫,20260618,7012.156,1.3683768E9,4.31976925804E10
000300.SH,沪深300,20260617,4931.3861,2.7605395E10,8.50367581581E11
399933.SZ,800医卫,20260617,6942.3423,9.142583E8,2.71404369474E10
000300.SH,沪深300,20260616,4884.2322,2.82584743E10,8.57202587478E11
399933.SZ,800医卫,20260616,6980.7838,9.901618E8,3.01459759629E10
000300.SH,沪深300,20260615,4891.7126,3.31316076E10,9.14145755805E11
399933.SZ,800医卫,20260615,7107.3819,1.0891197E9,3.24499128316E10
000300.SH,沪深300,20260614,4777.3206,,
399933.SZ,800医卫,20260614,7139.3874,,
000300.SH,沪深300,20260613,4777.3206,,
