证券代码,证券简称,日期,成交量,成交额,收盘价,换手率
002821.SZ,凯莱英,20260721,1.3049842E7,2.13962739888E9,169.5,4.1160999245726
603259.SH,药明康德,20260721,6.4827986E7,8.016853067E9,126.03826853093,2.6211338607845
300347.SZ,泰格医药,20260720,2.9181011E7,1.45142367081E9,49.06,5.1536412173704
688293.SH,奥浦迈,20260720,4755203.0,2.52027063E8,54.0,4.1768528189268
300759.SZ,康龙化成,20260720,1.20805725E8,4.44297836877E9,37.28,8.5072539853564
002821.SZ,凯莱英,20260720,1.5126417E7,2.45837216698E9,162.51,4.7710802837884
603259.SH,药明康德,20260720,6.9194022E7,8.484725455E9,123.81552959203,2.7976620163407
300347.SZ,泰格医药,20260719,,,49.02,
688293.SH,奥浦迈,20260719,,,51.82,
300759.SZ,康龙化成,20260719,,,35.48,
002821.SZ,凯莱英,20260719,,,161.99,
603259.SH,药明康德,20260719,,,117.50614058609,
300347.SZ,泰格医药,20260718,,,49.02,
688293.SH,奥浦迈,20260718,,,51.82,
300759.SZ,康龙化成,20260718,,,35.48,
002821.SZ,凯莱英,20260718,,,161.99,
603259.SH,药明康德,20260718,,,117.50614058609,
300347.SZ,泰格医药,20260717,3.2623436E7,1.64108617421E9,49.02,5.7616058751989
688293.SH,奥浦迈,20260717,5634443.0,2.95459954E8,51.82,4.9503034409881
300759.SZ,康龙化成,20260717,1.36362735E8,4.9527813711E9,35.48,9.6027934171402
002821.SZ,凯莱英,20260717,1.2646926E7,2.08796117244E9,161.99,3.989014668122
603259.SH,药明康德,20260717,8.6148284E7,1.0414951862E10,117.50614058609,3.4831590208722
300347.SZ,泰格医药,20260716,3.7570814E7,1.98920727809E9,53.99,6.6353593986362
688293.SH,奥浦迈,20260716,7033745.0,3.84099985E8,54.4,6.1797008287302
300759.SZ,康龙化成,20260716,1.3601671E8,5.34147455914E9,38.6,9.5784260077291
002821.SZ,凯莱英,20260716,2.1064269E7,3.93353478777E9,179.99,6.6439605967702
603259.SH,药明康德,20260716,8.3702202E7,1.0692844028E10,126.58647768627,3.3842587040175
300347.SZ,泰格医药,20260715,4.0025747E7,2.07176358354E9,51.9,7.0689236742085
688293.SH,奥浦迈,20260715,7652460.0,4.19143292E8,53.95,6.7232908505817
300759.SZ,康龙化成,20260715,1.61863924E8,6.42092637603E9,40.3,11.398611386459
002821.SZ,凯莱英,20260715,2.2471825E7,4.24028777298E9,195.75,7.0879231478441
603259.SH,药明康德,20260715,1.14997732E8,1.5180998366E10,131.07182532082,4.6496037877626
300347.SZ,泰格医药,20260714,2.7542559E7,1.29604854504E9,48.7,4.8642751717634
688293.SH,奥浦迈,20260714,5781975.0,2.88974933E8,51.0,5.0799219617995
300759.SZ,康龙化成,20260714,1.25951992E8,4.40312811378E9,36.93,8.8696589992369
002821.SZ,凯莱英,20260714,1.8047703E7,3.0663165251E9,177.95,5.6924941280522
603259.SH,药明康德,20260714,7.5092356E7,9.326276586E9,127.09481708485,3.0361442509981
300347.SZ,泰格医药,20260713,2.18231E7,1.00546038083E9,45.91,3.8541648762887
688293.SH,奥浦迈,20260713,2994877.0,1.42832027E8,46.4,2.6312361165844
300759.SZ,康龙化成,20260713,8.1178385E7,2.76263849798E9,34.08,5.7166590351248
002821.SZ,凯莱英,20260713,1.3461176E7,2.25284775232E9,165.33,4.2458403341786
603259.SH,药明康德,20260713,5.538763E7,6.711403748E9,119.84848879525,2.2394401155946
300347.SZ,泰格医药,20260712,,,47.27,
688293.SH,奥浦迈,20260712,,,48.39,
300759.SZ,康龙化成,20260712,,,33.94,
002821.SZ,凯莱英,20260712,,,165.41,
603259.SH,药明康德,20260712,,,122.89852518675,
300347.SZ,泰格医药,20260711,,,47.27,
688293.SH,奥浦迈,20260711,,,48.39,
300759.SZ,康龙化成,20260711,,,33.94,
002821.SZ,凯莱英,20260711,,,165.41,
603259.SH,药明康德,20260711,,,122.89852518675,
300347.SZ,泰格医药,20260710,3.4072791E7,1.57422080621E9,47.27,6.0175756106753
688293.SH,奥浦迈,20260710,4308973.0,2.04023107E8,48.39,3.7857732998674
300759.SZ,康龙化成,20260710,1.02202462E8,3.39461101782E9,33.94,7.1971945217227
002821.SZ,凯莱英,20260710,1.5536742E7,2.59357215105E9,165.41,4.9005024408957
603259.SH,药明康德,20260710,6.8307583E7,8.472889065E9,122.89852518675,2.7618213953098
300347.SZ,泰格医药,20260709,2.0850724E7,9.0524869858E8,43.45,3.6824341219163
688293.SH,奥浦迈,20260709,2359874.0,1.00145483E8,43.1,2.0733357995632
300759.SZ,康龙化成,20260709,7.2684186E7,2.25390250314E9,30.98,5.118489467456
002821.SZ,凯莱英,20260709,1.54466E7,2.4292562498E9,161.23,4.8720704124159
603259.SH,药明康德,20260709,5.8321665E7,6.939668543E9,120.67578624785,2.3580694138613
300347.SZ,泰格医药,20260708,2.287689E7,1.02218382516E9,43.001239384898,4.0402741093942
688293.SH,奥浦迈,20260708,1775199.0,7.4199124E7,40.810623556582,1.5596526077447
300759.SZ,康龙化成,20260708,6.5497134E7,2.0166281899E9,30.31,4.6123704340248
002821.SZ,凯莱英,20260708,1.2699136E7,1.94787069356E9,149.53,4.0054824212996
603259.SH,药明康德,20260708,5.0987524E7,5.974122282E9,115.02424822831,2.0615344372099
300347.SZ,泰格医药,20260707,1.8064771E7,8.5556296824E8,46.172481064953,3.1904085985217
688293.SH,奥浦迈,20260707,2901335.0,1.24031923E8,42.194203233256,2.5490520773676
300759.SZ,康龙化成,20260707,7.9272787E7,2.46243695788E9,30.57,5.5824650126148
002821.SZ,凯莱英,20260707,1.8321813E7,2.8787060544E9,153.1,5.7789521978376
603259.SH,药明康德,20260707,6.6594733E7,7.981712118E9,117.9148055928,2.6925672134285
300347.SZ,泰格医药,20260706,2.8519076E7,1.39140316966E9,48.765320174432,5.0367372657143
688293.SH,奥浦迈,20260706,3426950.0,1.56183353E8,44.244688221709,3.0108463919316
300759.SZ,康龙化成,20260706,8.7398276E7,2.7126107599E9,30.6,6.1546696716094
002821.SZ,凯莱英,20260706,2.3267769E7,3.87830413178E9,162.1,7.3389748493409
603259.SH,药明康德,20260706,9.2169753E7,1.1519021401E10,122.56959969355,3.726619866433
300347.SZ,泰格医药,20260705,,,46.800745926096,
688293.SH,奥浦迈,20260705,,,44.105334872979,
300759.SZ,康龙化成,20260705,,,29.377987012987,
002821.SZ,凯莱英,20260705,,,165.8,
603259.SH,药明康德,20260705,,,123.71585520015,
300347.SZ,泰格医药,20260704,,,46.800745926096,
688293.SH,奥浦迈,20260704,,,44.105334872979,
300759.SZ,康龙化成,20260704,,,29.377987012987,
002821.SZ,凯莱英,20260704,,,165.8,
603259.SH,药明康德,20260704,,,123.71585520015,
300347.SZ,泰格医药,20260703,1.9407478E7,8.9343399975E8,46.800745926096,3.4275432933427
688293.SH,奥浦迈,20260703,1840652.0,8.0709094E7,44.105334872979,1.6171582407102
300759.SZ,康龙化成,20260703,5.5725191E7,1.62987635158E9,29.377987012987,3.9242209193273
002821.SZ,凯莱英,20260703,1.7400987E7,2.74649481021E9,165.8,5.4885109933276
603259.SH,药明康德,20260703,7.1282233E7,8.753818153E9,123.71585520015,2.8820928447265
